DateTime;ticker;last_price
2025-03-19 17:48:57;RIM5;121150
2025-03-19 17:48:57;SiM5;88409
2025-03-19 17:48:57;CRM5;12.128
2025-03-19 17:48:57;GZM5;17809
2025-03-19 17:48:57;SRM5;34268
2025-03-19 17:49:58;RIM5;121230
2025-03-19 17:49:58;SiM5;88383
2025-03-19 17:49:58;CRM5;12.127
2025-03-19 17:49:58;GZM5;17826
2025-03-19 17:49:58;SRM5;34271
2025-03-19 17:51:00;RIM5;121160
2025-03-19 17:51:00;SiM5;88423
2025-03-19 17:51:00;CRM5;12.132
2025-03-19 17:51:00;GZM5;17834
2025-03-19 17:51:00;SRM5;34291
2025-03-19 17:52:02;RIM5;121160
2025-03-19 17:52:02;SiM5;88418
2025-03-19 17:52:02;CRM5;12.131
2025-03-19 17:52:02;GZM5;17827
2025-03-19 17:52:02;SRM5;34291
2025-03-19 17:53:03;RIM5;121130
2025-03-19 17:53:03;SiM5;88410
2025-03-19 17:53:03;CRM5;12.131
2025-03-19 17:53:03;GZM5;17821
2025-03-19 17:53:03;SRM5;34279
2025-03-19 17:54:05;RIM5;121140
2025-03-19 17:54:05;SiM5;88371
2025-03-19 17:54:05;CRM5;12.131
2025-03-19 17:54:05;GZM5;17820
2025-03-19 17:54:05;SRM5;34267
2025-03-19 17:55:06;RIM5;121220
2025-03-19 17:55:06;SiM5;88372
2025-03-19 17:55:06;CRM5;12.131
2025-03-19 17:55:06;GZM5;17817
2025-03-19 17:55:06;SRM5;34263
2025-03-19 17:56:08;RIM5;121120
2025-03-19 17:56:08;SiM5;88382
2025-03-19 17:56:08;CRM5;12.131
2025-03-19 17:56:08;GZM5;17822
2025-03-19 17:56:08;SRM5;34275
2025-03-19 17:57:09;RIM5;121120
2025-03-19 17:57:09;SiM5;88378
2025-03-19 17:57:09;CRM5;12.132
2025-03-19 17:57:09;GZM5;17810
2025-03-19 17:57:09;SRM5;34262
2025-03-19 17:58:11;RIM5;121100
2025-03-19 17:58:11;SiM5;88386
2025-03-19 17:58:11;CRM5;12.136
2025-03-19 17:58:11;GZM5;17809
2025-03-19 17:58:11;SRM5;34262
2025-03-19 17:59:13;RIM5;121120
2025-03-19 17:59:13;SiM5;88396
2025-03-19 17:59:13;CRM5;12.137
2025-03-19 17:59:13;GZM5;17803
2025-03-19 17:59:13;SRM5;34256
2025-03-19 18:00:14;RIM5;121240
2025-03-19 18:00:14;SiM5;88401
2025-03-19 18:00:14;CRM5;12.135
2025-03-19 18:00:14;GZM5;17842
2025-03-19 18:00:14;SRM5;34318
2025-03-19 18:01:21;RIM5;121130
2025-03-19 18:01:21;SiM5;88450
2025-03-19 18:01:21;CRM5;12.143
2025-03-19 18:01:21;GZM5;17846
2025-03-19 18:01:21;SRM5;34323
2025-03-19 18:02:22;RIM5;121110
2025-03-19 18:02:22;SiM5;88432
2025-03-19 18:02:22;CRM5;12.143
2025-03-19 18:02:22;GZM5;17847
2025-03-19 18:02:22;SRM5;34313
2025-03-19 18:03:24;RIM5;121080
2025-03-19 18:03:24;SiM5;88436
2025-03-19 18:03:24;CRM5;12.143
2025-03-19 18:03:24;GZM5;17838
2025-03-19 18:03:24;SRM5;34306
2025-03-19 18:04:25;RIM5;121040
2025-03-19 18:04:25;SiM5;88448
2025-03-19 18:04:25;CRM5;12.141
2025-03-19 18:04:25;GZM5;17839
2025-03-19 18:04:25;SRM5;34294
2025-03-19 18:05:29;RIM5;121050
2025-03-19 18:05:29;SiM5;88408
2025-03-19 18:05:29;CRM5;12.135
2025-03-19 18:05:29;GZM5;17825
2025-03-19 18:05:29;SRM5;34280
2025-03-19 18:06:31;RIM5;121020
2025-03-19 18:06:31;SiM5;88428
2025-03-19 18:06:31;CRM5;12.135
2025-03-19 18:06:31;GZM5;17825
2025-03-19 18:06:31;SRM5;34276
2025-03-19 18:07:32;RIM5;120980
2025-03-19 18:07:32;SiM5;88449
2025-03-19 18:07:32;CRM5;12.135
2025-03-19 18:07:32;GZM5;17822
2025-03-19 18:07:32;SRM5;34280
2025-03-19 18:08:34;RIM5;121030
2025-03-19 18:08:34;SiM5;88434
2025-03-19 18:08:34;CRM5;12.14
2025-03-19 18:08:34;GZM5;17819
2025-03-19 18:08:34;SRM5;34275
2025-03-19 18:09:36;RIM5;120940
2025-03-19 18:09:36;SiM5;88448
2025-03-19 18:09:36;CRM5;12.145
2025-03-19 18:09:36;GZM5;17808
2025-03-19 18:09:36;SRM5;34254
2025-03-19 18:10:49;RIM5;120880
2025-03-19 18:10:49;SiM5;88520
2025-03-19 18:10:49;CRM5;12.15
2025-03-19 18:10:49;GZM5;17813
2025-03-19 18:10:49;SRM5;34254
2025-03-19 18:11:50;RIM5;120940
2025-03-19 18:11:50;SiM5;88525
2025-03-19 18:11:50;CRM5;12.154
2025-03-19 18:11:50;GZM5;17822
2025-03-19 18:11:50;SRM5;34275
2025-03-19 18:12:52;RIM5;121000
2025-03-19 18:12:52;SiM5;88524
2025-03-19 18:12:52;CRM5;12.153
2025-03-19 18:12:52;GZM5;17815
2025-03-19 18:12:52;SRM5;34291
2025-03-19 18:13:54;RIM5;120930
2025-03-19 18:13:54;SiM5;88522
2025-03-19 18:13:54;CRM5;12.155
2025-03-19 18:13:54;GZM5;17807
2025-03-19 18:13:54;SRM5;34280
2025-03-19 18:14:55;RIM5;120890
2025-03-19 18:14:55;SiM5;88579
2025-03-19 18:14:55;CRM5;12.163
2025-03-19 18:14:55;GZM5;17805
2025-03-19 18:14:55;SRM5;34288
2025-03-19 18:15:57;RIM5;120890
2025-03-19 18:15:57;SiM5;88614
2025-03-19 18:15:57;CRM5;12.167
2025-03-19 18:15:57;GZM5;17825
2025-03-19 18:15:57;SRM5;34307
2025-03-19 18:16:58;RIM5;120870
2025-03-19 18:16:58;SiM5;88690
2025-03-19 18:16:58;CRM5;12.174
2025-03-19 18:16:58;GZM5;17827
2025-03-19 18:16:58;SRM5;34335
2025-03-19 18:18:00;RIM5;120870
2025-03-19 18:18:00;SiM5;88672
