	datetime	open	high	low	close	volume
56	16.12.2025 00:00	84.299	84.381	83.959	84.157	1388
57	17.12.2025 00:00	84.074	85.407	82.0	85.278	2809
58	18.12.2025 00:00	85.291	86.048	84.6	85.763	3914
59	19.12.2025 00:00	85.777	86.35	84.435	84.655	12404
60	22.12.2025 00:00	84.631	84.631	82.653	82.892	6373
61	23.12.2025 00:00	82.79	83.113	81.85	82.3	13444
62	24.12.2025 00:00	82.251	83.342	82.045	82.552	17196
63	25.12.2025 00:00	82.548	82.59	81.581	81.729	17197
64	26.12.2025 00:00	81.785	82.5	81.298	81.592	15348
65	29.12.2025 00:00	81.538	82.372	81.374	82.129	6313
66	30.12.2025 00:00	82.149	83.215	81.765	82.867	28018
67	05.01.2026 00:00	82.98	84.4	82.97	84.262	4316
68	06.01.2026 00:00	84.126	84.41	83.289	83.355	4184
69	08.01.2026 00:00	83.43	84.248	83.186	83.408	4161
70	09.01.2026 00:00	83.408	83.498	82.497	82.548	3265
71	12.01.2026 00:00	82.6	83.368	82.274	82.957	6324
72	13.01.2026 00:00	82.99	83.14	82.573	82.9	6922
73	14.01.2026 00:00	82.909	83.1	82.046	82.15	6964
74	15.01.2026 00:00	82.205	82.841	81.685	81.918	10083
75	16.01.2026 00:00	81.936	82.198	81.48	81.938	5856
76	19.01.2026 00:00	81.848	82.209	81.559	81.688	8288
77	20.01.2026 00:00	81.634	82.159	81.444	81.736	10692
78	21.01.2026 00:00	81.694	81.918	80.3	80.469	20318
79	22.01.2026 00:00	80.493	80.562	79.3	79.349	32346
80	23.01.2026 00:00	79.369	79.893	79.066	79.132	35828
81	26.01.2026 00:00	79.087	80.466	79.031	80.337	35506
82	27.01.2026 00:00	80.34	80.609	79.409	79.62	16962
83	28.01.2026 00:00	79.62	80.08	79.184	79.893	21327
84	29.01.2026 00:00	79.81	79.963	78.481	78.713	25215
85	30.01.2026 00:00	78.715	79.798	78.63	79.47	26385
86	02.02.2026 00:00	79.536	80.945	79.52	80.092	16803
87	03.02.2026 00:00	80.087	80.607	79.873	80.441	17201
88	04.02.2026 00:00	80.35	80.636	79.45	79.7	34578
89	05.02.2026 00:00	79.75	80.031	79.09	79.84	21319
90	06.02.2026 00:00	80.083	80.5	79.359	79.93	32844
91	09.02.2026 00:00	79.83	80.491	79.622	80.095	31421
92	10.02.2026 00:00	80.041	80.136	79.65	80.057	15592
93	11.02.2026 00:00	80.085	80.234	79.369	79.675	34813
94	12.02.2026 00:00	79.779	79.857	79.37	79.49	37047
95	13.02.2026 00:00	79.557	79.615	78.65	78.768	58255
